txId,hybrid_score,prediction,top_positive_factors,top_negative_factors
73001655,0.9909,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1379"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0085"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7008"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5528"", ""direction"": ""increased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""+0.5059"", ""direction"": ""increased_risk""}]","[{""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.1361"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1288"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1117"", ""direction"": ""decreased_risk""}, {""feature"": ""V53"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1033"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0834"", ""direction"": ""decreased_risk""}]"
71988421,0.9907,suspicious,"[{""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.2658"", ""direction"": ""increased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0874"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.8080"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5138"", ""direction"": ""increased_risk""}, {""feature"": ""V56"", ""category"": ""Transaction Profile"", ""impact"": ""+0.3745"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1772"", ""direction"": ""decreased_risk""}, {""feature"": ""V164"", ""category"": ""Network Context"", ""impact"": ""-0.1317"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1216"", ""direction"": ""decreased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""-0.1013"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0764"", ""direction"": ""decreased_risk""}]"
12778754,0.9905,suspicious,"[{""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1959"", ""direction"": ""increased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1064"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7024"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5359"", ""direction"": ""increased_risk""}, {""feature"": ""V56"", ""category"": ""Transaction Profile"", ""impact"": ""+0.3897"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1981"", ""direction"": ""decreased_risk""}, {""feature"": ""V164"", ""category"": ""Network Context"", ""impact"": ""-0.1283"", ""direction"": ""decreased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""-0.1282"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1124"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0909"", ""direction"": ""decreased_risk""}]"
71989358,0.9904,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1383"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0214"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.6639"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5620"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.4658"", ""direction"": ""increased_risk""}]","[{""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.1313"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1262"", ""direction"": ""decreased_risk""}, {""feature"": ""V53"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1198"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0984"", ""direction"": ""decreased_risk""}, {""feature"": ""V150"", ""category"": ""Network Context"", ""impact"": ""-0.0648"", ""direction"": ""decreased_risk""}]"
71989346,0.9902,suspicious,"[{""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1596"", ""direction"": ""increased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1314"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7295"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5140"", ""direction"": ""increased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""+0.4710"", ""direction"": ""increased_risk""}]","[{""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1290"", ""direction"": ""decreased_risk""}, {""feature"": ""V164"", ""category"": ""Network Context"", ""impact"": ""-0.1213"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1114"", ""direction"": ""decreased_risk""}, {""feature"": ""V96"", ""category"": ""Network Context"", ""impact"": ""-0.0834"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0770"", ""direction"": ""decreased_risk""}]"
72631010,0.9902,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.2003"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0360"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7140"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5632"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5050"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1280"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1113"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0855"", ""direction"": ""decreased_risk""}, {""feature"": ""V3"", ""category"": ""Transaction Profile"", ""impact"": ""-0.0823"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0789"", ""direction"": ""decreased_risk""}]"
72603109,0.9901,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1506"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0357"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7090"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5644"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5045"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1281"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1090"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0857"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0791"", ""direction"": ""decreased_risk""}, {""feature"": ""V150"", ""category"": ""Network Context"", ""impact"": ""-0.0608"", ""direction"": ""decreased_risk""}]"
72632574,0.9901,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.2211"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0403"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7202"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5478"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5060"", ""direction"": ""increased_risk""}]","[{""feature"": ""V3"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1727"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1290"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1106"", ""direction"": ""decreased_risk""}, {""feature"": ""V108"", ""category"": ""Network Context"", ""impact"": ""-0.0851"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0767"", ""direction"": ""decreased_risk""}]"
71749633,0.9901,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.0241"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.6372"", ""direction"": ""increased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""+0.5849"", ""direction"": ""increased_risk""}, {""feature"": ""V164"", ""category"": ""Network Context"", ""impact"": ""+0.5429"", ""direction"": ""increased_risk""}, {""feature"": ""V56"", ""category"": ""Transaction Profile"", ""impact"": ""+0.3706"", ""direction"": ""increased_risk""}]","[{""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""-0.3242"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.2184"", ""direction"": ""decreased_risk""}, {""feature"": ""V68"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1966"", ""direction"": ""decreased_risk""}, {""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1594"", ""direction"": ""decreased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""-0.1390"", ""direction"": ""decreased_risk""}]"
73003343,0.9901,suspicious,"[{""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1072"", ""direction"": ""increased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""+1.1010"", ""direction"": ""increased_risk""}, {""feature"": ""V77"", ""category"": ""Transaction Profile"", ""impact"": ""+0.7951"", ""direction"": ""increased_risk""}, {""feature"": ""V162"", ""category"": ""Network Context"", ""impact"": ""+0.5992"", ""direction"": ""increased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""+0.5093"", ""direction"": ""increased_risk""}]","[{""feature"": ""V107"", ""category"": ""Network Context"", ""impact"": ""-0.1624"", ""direction"": ""decreased_risk""}, {""feature"": ""V144"", ""category"": ""Network Context"", ""impact"": ""-0.1502"", ""direction"": ""decreased_risk""}, {""feature"": ""V139"", ""category"": ""Network Context"", ""impact"": ""-0.0917"", ""direction"": ""decreased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""-0.0902"", ""direction"": ""decreased_risk""}, {""feature"": ""V53"", ""category"": ""Transaction Profile"", ""impact"": ""-0.0789"", ""direction"": ""decreased_risk""}]"
94408492,0.0,normal,"[{""feature"": ""V73"", ""category"": ""Transaction Profile"", ""impact"": ""+0.2840"", ""direction"": ""increased_risk""}, {""feature"": ""V101"", ""category"": ""Network Context"", ""impact"": ""+0.1921"", ""direction"": ""increased_risk""}, {""feature"": ""V74"", ""category"": ""Transaction Profile"", ""impact"": ""+0.1882"", ""direction"": ""increased_risk""}, {""feature"": ""V72"", ""category"": ""Transaction Profile"", ""impact"": ""+0.1502"", ""direction"": ""increased_risk""}, {""feature"": ""V140"", ""category"": ""Network Context"", ""impact"": ""+0.1442"", ""direction"": ""increased_risk""}]","[{""feature"": ""V60"", ""category"": ""Transaction Profile"", ""impact"": ""-1.4999"", ""direction"": ""decreased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""-1.1218"", ""direction"": ""decreased_risk""}, {""feature"": ""V132"", ""category"": ""Network Context"", ""impact"": ""-0.7562"", ""direction"": ""decreased_risk""}, {""feature"": ""V6"", ""category"": ""Transaction Profile"", ""impact"": ""-0.7203"", ""direction"": ""decreased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""-0.3716"", ""direction"": ""decreased_risk""}]"
13269003,0.0,normal,"[{""feature"": ""V73"", ""category"": ""Transaction Profile"", ""impact"": ""+0.2858"", ""direction"": ""increased_risk""}, {""feature"": ""V101"", ""category"": ""Network Context"", ""impact"": ""+0.1959"", ""direction"": ""increased_risk""}, {""feature"": ""V74"", ""category"": ""Transaction Profile"", ""impact"": ""+0.1881"", ""direction"": ""increased_risk""}, {""feature"": ""V72"", ""category"": ""Transaction Profile"", ""impact"": ""+0.1503"", ""direction"": ""increased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""+0.1167"", ""direction"": ""increased_risk""}]","[{""feature"": ""V60"", ""category"": ""Transaction Profile"", ""impact"": ""-1.5065"", ""direction"": ""decreased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""-1.1941"", ""direction"": ""decreased_risk""}, {""feature"": ""V132"", ""category"": ""Network Context"", ""impact"": ""-0.7819"", ""direction"": ""decreased_risk""}, {""feature"": ""V6"", ""category"": ""Transaction Profile"", ""impact"": ""-0.7640"", ""direction"": ""decreased_risk""}, {""feature"": ""V133"", ""category"": ""Network Context"", ""impact"": ""-0.3500"", ""direction"": ""decreased_risk""}]"
3282970,0.0,normal,"[{""feature"": ""V73"", ""category"": ""Transaction Profile"", ""impact"": ""+0.1961"", ""direction"": ""increased_risk""}, {""feature"": ""V101"", ""category"": ""Network Context"", ""impact"": ""+0.1661"", ""direction"": ""increased_risk""}, {""feature"": ""V74"", ""category"": ""Transaction Profile"", ""impact"": ""+0.1600"", ""direction"": ""increased_risk""}, {""feature"": ""V4"", ""category"": ""Transaction Profile"", ""impact"": ""+0.1287"", ""direction"": ""increased_risk""}, {""feature"": ""V128"", ""category"": ""Network Context"", ""impact"": ""+0.1213"", ""direction"": ""increased_risk""}]","[{""feature"": ""V60"", ""category"": ""Transaction Profile"", ""impact"": ""-1.4879"", ""direction"": ""decreased_risk""}, {""feature"": ""V54"", ""category"": ""Transaction Profile"", ""impact"": ""-1.0632"", ""direction"": ""decreased_risk""}, {""feature"": ""V132"", ""category"": ""Network Context"", ""impact"": ""-0.7797"", ""direction"": ""decreased_risk""}, {""feature"": ""V6"", ""category"": ""Transaction Profile"", ""impact"": ""-0.7412"", ""direction"": ""decreased_risk""}, {""feature"": ""V91"", ""category"": ""Transaction Profile"", ""impact"": ""-0.3870"", ""direction"": ""decreased_risk""}]"
